process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_5	2.7s	73.6%	0.1%	201 MB	201 MB	300.2 MB	24.3s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_4	2.7s	73.7%	0.1%	201.6 MB	201.6 MB	301.8 MB	22s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_2	2.8s	73.1%	0.1%	201.6 MB	201.6 MB	301.8 MB	19.6s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_3	3s	70.7%	0.1%	201.1 MB	201.1 MB	300.1 MB	46.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_1	3.2s	69.7%	0.1%	200.9 MB	200.9 MB	300.1 MB	44.5s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_4-diablo-null	4.7s	76.7%	0.1%	243.2 MB	243.2 MB	410.3 MB	42.2s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_5-diablo-full	5s	72.1%	0.1%	244.6 MB	244.6 MB	538.3 MB	39.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_5-diablo-null	4.6s	76.5%	0.1%	243.3 MB	243.3 MB	410.3 MB	37.5s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_1	7.9s	80.8%	0.2%	442.4 MB	442.4 MB	569.7 MB	35.1s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_5	8s	80.7%	0.2%	442.5 MB	442.5 MB	569.7 MB	32.7s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_3	7.6s	82.9%	0.2%	438.8 MB	438.8 MB	562.7 MB	30.3s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_4	7.6s	82.9%	0.2%	438.7 MB	438.7 MB	562.7 MB	27.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_2	7.6s	82.8%	0.2%	438.8 MB	438.8 MB	562.7 MB	25.5s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_1	5.9s	52.6%	0.4%	756.2 MB	756.2 MB	8.5 GB	23.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_5	5.9s	53.1%	0.4%	729 MB	729 MB	8.4 GB	20.9s	16 GB
