process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	rosmap	1.3s	32.1%	0.0%	4.4 MB	4.4 MB	16.7 MB	28.4s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0	801ms	47.8%	0.0%	48.9 MB	54.1 MB	137 MB	27.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	GSE71669	1.6s	58.4%	0.0%	48.8 MB	54.1 MB	137 MB	25.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0.5	874ms	47.2%	0.0%	48.8 MB	54.1 MB	137 MB	22.8s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5	914ms	47.2%	0.0%	48.8 MB	54.1 MB	137 MB	20.5s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1	1.1s	44.4%	0.0%	48.9 MB	54.2 MB	137 MB	17.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0	1s	44.2%	0.0%	48.8 MB	54.1 MB	137 MB	15.7s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5	987ms	45.6%	0.0%	53.9 MB	53.9 MB	136.8 MB	13.4s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1	962ms	45.7%	0.0%	48.8 MB	54.1 MB	137 MB	11s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1	984ms	44.7%	0.0%	48.8 MB	54.1 MB	137 MB	8.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5	1.2s	43.3%	0.0%	48.9 MB	54.2 MB	137 MB	35.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0	886ms	46.6%	0.0%	53.9 MB	53.9 MB	136.8 MB	33.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1	1.2s	45.6%	0.0%	48.8 MB	54.1 MB	137 MB	31.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0	1.3s	44.2%	0.0%	53.8 MB	53.8 MB	136.8 MB	28.8s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0	1.2s	42.6%	0.0%	48.8 MB	54.1 MB	137 MB	56.3s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5	1.2s	45.7%	0.0%	48.9 MB	54.2 MB	137 MB	53.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1	1.2s	44.4%	0.0%	48.8 MB	54.1 MB	137 MB	51.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5	1.3s	43.5%	0.0%	54 MB	54 MB	136.8 MB	49.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0	1.4s	45.8%	0.0%	53 MB	53 MB	135.7 MB	46.8s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1	1.4s	44.4%	0.0%	53.9 MB	53.9 MB	136.8 MB	44.5s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5	907ms	46.2%	0.0%	48.8 MB	54 MB	137 MB	42.1s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0	976ms	47.0%	0.0%	51.9 MB	51.9 MB	134.6 MB	39.7s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1	994ms	46.3%	0.0%	48.8 MB	54.1 MB	137 MB	37.3s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5	974ms	47.1%	0.0%	53.9 MB	53.9 MB	136.8 MB	34.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0	990ms	46.4%	0.0%	53.9 MB	53.9 MB	136.8 MB	32.5s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1	933ms	48.1%	0.0%	48.8 MB	54 MB	137 MB	30.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5	764ms	45.1%	0.0%	48.8 MB	54.1 MB	137 MB	27.7s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0	783ms	47.5%	0.0%	52.8 MB	52.8 MB	135.5 MB	25.4s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1	795ms	48.0%	0.0%	48.7 MB	54 MB	137 MB	23s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	874ms	50.3%	0.0%	48.9 MB	54.2 MB	137 MB	20.7s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.2s	53.9%	0.0%	53.4 MB	53.4 MB	136.4 MB	18.3s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1s	50.9%	0.0%	48.8 MB	54.1 MB	137 MB	15.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.4s	45.7%	0.0%	51.9 MB	51.9 MB	134.8 MB	13.5s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.5s	48.3%	0.0%	54.1 MB	54.1 MB	136.8 MB	11.1s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.6s	54.1%	0.0%	48.8 MB	54.1 MB	137 MB	8.7s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	793ms	50.8%	0.0%	54.1 MB	54.1 MB	136.8 MB	35.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	869ms	50.8%	0.0%	48.8 MB	54.1 MB	137 MB	33.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-100_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	833ms	48.3%	0.0%	48.9 MB	54.2 MB	137 MB	31.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.6s	53.0%	0.0%	49 MB	54.3 MB	137 MB	28.8s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.6s	58.3%	0.0%	48.8 MB	54.1 MB	137 MB	56.3s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	2.4s	57.2%	0.0%	74.8 MB	74.8 MB	231.1 MB	54s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	3s	63.3%	0.0%	74.6 MB	74.6 MB	228.2 MB	51.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	3.3s	64.7%	0.0%	74.7 MB	74.7 MB	228.2 MB	49.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	2.1s	57.6%	0.0%	53.2 MB	53.2 MB	136 MB	46.8s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.5s	48.7%	0.0%	51.9 MB	51.9 MB	134.7 MB	44.4s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.3s	44.1%	0.0%	52.3 MB	52.3 MB	135.1 MB	42s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.1s	44.5%	0.0%	54.1 MB	54.1 MB	136.8 MB	39.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-500_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.6s	54.3%	0.0%	54.1 MB	54.1 MB	137 MB	37.3s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1s	51.6%	0.0%	48.8 MB	54.1 MB	137 MB	34.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1s	51.3%	0.0%	48.8 MB	54.1 MB	137 MB	32.5s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1s	53.2%	0.0%	54 MB	54 MB	136.8 MB	30.1s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	1.2s	51.1%	0.0%	48.8 MB	54.1 MB	137 MB	27.7s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	918ms	55.6%	0.0%	49 MB	54.3 MB	137 MB	25.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	839ms	45.6%	0.0%	48.8 MB	54.1 MB	137 MB	22.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	851ms	46.2%	0.0%	48.9 MB	54.2 MB	137 MB	20.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-mvn_n-50_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	845ms	48.6%	0.0%	48.9 MB	54.2 MB	137 MB	18.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	tcga-blca	6.2s	69.7%	0.0%	79 MB	79 MB	241.5 MB	15.8s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	tcga-brca	2.9s	61.8%	0.0%	74.8 MB	74.8 MB	231.1 MB	13.4s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	tcga-kipan	2.6s	73.5%	0.0%	74.8 MB	74.8 MB	231.1 MB	11s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	tcga-thca	3.9s	69.9%	0.0%	78.9 MB	78.9 MB	241.5 MB	8.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	rosmap	1.5s	73.3%	0.0%	87.9 MB	87.9 MB	358.5 MB	35.9s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	rosmap	10.7s	94.1%	0.3%	618.7 MB	618.7 MB	1 GB	33.5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0	11s	92.2%	0.3%	579 MB	579 MB	1 GB	31.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0	2.9s	44.4%	0.0%	83.1 MB	83.1 MB	348.8 MB	28.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	GSE71669	13.2s	95.4%	0.4%	791.3 MB	791.3 MB	1.2 GB	56.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	GSE71669	2.2s	82.5%	0.0%	87.8 MB	87.8 MB	358.5 MB	54s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0.5	1.8s	78.3%	0.0%	73.9 MB	73.9 MB	225.9 MB	51.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0.5	13.2s	70.2%	0.3%	544.1 MB	544.1 MB	998.7 MB	49.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5	11.2s	94.5%	0.3%	578.8 MB	578.8 MB	1 GB	46.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5	1.7s	72.7%	0.0%	74.5 MB	74.5 MB	226.2 MB	44.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1	9.8s	94.4%	0.3%	578.7 MB	578.7 MB	1 GB	42s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1	1.4s	87.7%	0.0%	87.7 MB	87.7 MB	358.5 MB	39.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0	11.1s	94.3%	0.3%	578.9 MB	578.9 MB	1 GB	37.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0	1.7s	82.6%	0.0%	87.3 MB	87.3 MB	354.5 MB	34.9s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5	12.2s	78.0%	0.3%	578.7 MB	578.7 MB	1 GB	32.5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5	1.7s	75.5%	0.0%	75.7 MB	75.7 MB	232.1 MB	30.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1	11.1s	95.1%	0.3%	579 MB	579 MB	1 GB	27.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1	1.5s	77.7%	0.0%	88.9 MB	88.9 MB	358.5 MB	25s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1	1.6s	84.0%	0.0%	87.8 MB	87.8 MB	358.5 MB	22.9s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5	1.8s	81.6%	0.0%	87.9 MB	87.9 MB	354.5 MB	15.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0	1.5s	80.6%	0.0%	95 MB	95 MB	359.5 MB	13.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1	1.4s	86.7%	0.0%	95.7 MB	95.7 MB	361.4 MB	8.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1	10.4s	93.8%	0.3%	670 MB	670 MB	1.1 GB	50.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5	10.6s	94.2%	0.3%	634.3 MB	634.3 MB	1.1 GB	48s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0	9.8s	93.9%	0.3%	578.9 MB	578.9 MB	1 GB	40.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1	10.8s	94.4%	0.3%	596.9 MB	596.9 MB	1 GB	36s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0	11.4s	94.3%	0.4%	688.8 MB	688.8 MB	1.1 GB	33.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0	1.6s	85.2%	0.0%	88 MB	88 MB	358.5 MB	31.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0	1.5s	85.5%	0.0%	91.9 MB	91.9 MB	358.5 MB	28.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0	12s	93.9%	0.3%	634.3 MB	634.3 MB	1.1 GB	26.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5	1.5s	72.3%	0.0%	97.6 MB	97.6 MB	363 MB	54.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5	11.6s	93.1%	0.4%	676.4 MB	676.4 MB	1.1 GB	51.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1	11.2s	94.3%	0.3%	596.5 MB	596.5 MB	1 GB	49.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1	1.5s	84.1%	0.0%	91.8 MB	91.8 MB	358.5 MB	47s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MU_DATA	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5	1.8s	80.5%	0.0%	87.3 MB	87.3 MB	354.5 MB	44.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5	12s	92.7%	0.3%	596.9 MB	596.9 MB	1 GB	42.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:PREPARE_MAE_DATA	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0	10.5s	94.7%	0.3%	652.9 MB	652.9 MB	1.1 GB	39.8s	16 GB
