method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
diablo-full,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.596,0.556,0.509,0.556,0.556,0.707,14.417,0.192
diablo-full,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.596,0.556,0.509,0.556,0.556,0.566,14.417,0.192
diablo-full,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.55,0.521,0.429,0.411,0.375,0.4,0.312,16.22,0.043
diablo-full,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.6,0.5,0.0,0.4,0.0,0.0,0.823,14.417,0.0
diablo-full,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.55,0.479,0.333,0.392,0.125,0.182,0.677,16.22,-0.057
diablo-full,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.542,0.5,0.425,0.25,0.333,0.542,14.417,0.102
diablo-full,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.542,0.5,0.425,0.25,0.333,0.755,14.417,0.102
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.68,0.681,0.708,0.643,0.654,0.68,0.748,11.534,0.362
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.63,0.63,0.64,0.592,0.627,0.634,0.713,13.336,0.26
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.71,0.711,0.75,0.665,0.647,0.695,0.768,10.453,0.426
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.77,0.77,0.78,0.716,0.765,0.772,0.837,8.29,0.54
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.65,0.649,0.648,0.605,0.686,0.667,0.729,12.615,0.299
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.66,0.659,0.66,0.597,0.633,0.646,0.691,12.255,0.319
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.64,0.641,0.618,0.579,0.694,0.654,0.636,12.976,0.283
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.66,0.659,0.667,0.598,0.612,0.638,0.702,12.255,0.32
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.6,0.604,0.56,0.58,0.592,0.625,14.417,0.2
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.68,0.68,0.68,0.622,0.68,0.68,0.703,11.534,0.36
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.59,0.59,0.576,0.552,0.68,0.624,0.67,14.778,0.183
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.63,0.63,0.627,0.582,0.64,0.634,0.735,13.336,0.26
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.74,0.739,0.727,0.68,0.784,0.755,0.799,9.371,0.481
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.63,0.63,0.646,0.593,0.608,0.626,0.705,13.336,0.261
diablo-full,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.54,0.542,0.564,0.533,0.431,0.489,0.648,16.58,0.087
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.67,0.67,0.667,0.605,0.653,0.66,0.786,11.894,0.34
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.73,0.731,0.696,0.654,0.796,0.743,0.749,9.732,0.466
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.69,0.689,0.705,0.626,0.633,0.667,0.726,11.174,0.38
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.64,0.637,0.643,0.572,0.562,0.6,0.747,12.976,0.277
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.66,0.659,0.646,0.587,0.646,0.646,0.707,12.255,0.319
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.73,0.73,0.725,0.667,0.74,0.733,0.786,9.732,0.46
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.63,0.63,0.644,0.584,0.58,0.611,0.7,13.336,0.261
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.75,0.75,0.755,0.689,0.74,0.747,0.792,9.011,0.5
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.71,0.71,0.706,0.648,0.72,0.713,0.787,10.453,0.42
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.7,0.699,0.698,0.646,0.725,0.712,0.766,10.813,0.4
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.65,0.637,0.667,0.559,0.478,0.557,0.689,12.615,0.291
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.63,0.628,0.609,0.553,0.596,0.602,0.711,13.336,0.256
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.59,0.584,0.575,0.521,0.489,0.529,0.657,14.778,0.172
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.74,0.732,0.8,0.667,0.596,0.683,0.807,9.371,0.485
diablo-full,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.7,0.703,0.66,0.612,0.745,0.7,0.716,10.813,0.405
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.59,0.59,0.6,0.554,0.54,0.568,0.601,14.778,0.181
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.57,0.569,0.568,0.53,0.51,0.538,0.643,15.499,0.139
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.62,0.621,0.604,0.564,0.653,0.627,0.632,13.697,0.242
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.63,0.629,0.636,0.574,0.571,0.602,0.629,13.336,0.26
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.52,0.521,0.509,0.501,0.551,0.529,0.565,17.301,0.041
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.56,0.556,0.579,0.56,0.623,0.6,0.57,15.859,0.113
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.52,0.513,0.541,0.537,0.623,0.579,0.516,17.301,0.028
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.54,0.539,0.558,0.541,0.558,0.558,0.545,16.58,0.079
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.53,0.53,0.549,0.536,0.538,0.544,0.552,16.941,0.059
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.46,0.454,0.484,0.499,0.596,0.534,0.557,19.464,-0.095
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.52,0.517,0.5,0.489,0.438,0.467,0.572,17.301,0.034
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.59,0.587,0.568,0.522,0.532,0.549,0.618,14.778,0.174
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.61,0.601,0.618,0.536,0.447,0.519,0.668,14.057,0.212
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.54,0.537,0.511,0.49,0.489,0.5,0.541,16.58,0.075
diablo-full,sim-data_strategy-mvn_n-500_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.51,0.502,0.472,0.471,0.362,0.41,0.544,17.661,0.003
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.8,0.833,0.667,0.667,1.0,0.8,1.0,7.209,0.667
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.6,0.625,0.5,0.475,0.75,0.6,0.792,14.417,0.25
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.7,0.667,0.667,0.533,0.5,0.571,0.708,10.813,0.356
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.4,0.4,0.333,0.467,0.2,0.25,0.6,21.626,-0.218
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.7,0.7,1.0,0.7,0.4,0.571,0.48,10.813,0.5
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.4,0.4,0.429,0.457,0.6,0.5,0.52,21.626,-0.218
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.7,0.7,1.0,0.7,0.4,0.571,0.88,10.813,0.5
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.8,0.8,1.0,0.8,0.6,0.75,0.84,7.209,0.655
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.7,0.75,0.571,0.571,1.0,0.727,0.75,10.813,0.535
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.583,0.5,0.45,0.5,0.5,0.708,14.417,0.167
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.6,0.6,0.667,0.567,0.4,0.5,0.6,14.417,0.218
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.7,0.7,0.75,0.65,0.6,0.667,0.56,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.7,0.7,0.667,0.633,0.8,0.727,0.6,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.5,0.5,0.5,0.5,0.4,0.444,0.42,18.022,0.0
diablo-full,sim-data_strategy-mvn_n-50_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.6,0.6,0.56,0.6,0.6,0.72,14.417,0.2
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.417,0.556,0.563,0.833,0.667,0.292,18.022,-0.272
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.7,0.625,0.667,0.667,1.0,0.8,0.708,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.7,0.625,0.667,0.667,1.0,0.8,0.875,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.7,0.625,0.667,0.667,1.0,0.8,0.917,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.524,0.714,0.71,0.714,0.714,0.476,14.417,0.048
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.6,0.5,0.6,0.6,1.0,0.75,0.375,14.417,0.0
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.6,0.542,0.625,0.621,0.833,0.714,0.458,14.417,0.102
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.7,0.625,0.667,0.667,1.0,0.8,0.521,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.429,0.667,0.671,0.857,0.75,0.286,14.417,-0.218
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.7,0.5,0.7,0.7,1.0,0.824,0.429,10.813,0.0
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.9,0.917,1.0,0.933,0.833,0.909,0.833,3.604,0.816
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.7,0.667,0.714,0.695,0.833,0.769,0.833,10.813,0.356
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.4,0.333,0.5,0.533,0.667,0.571,0.521,21.626,-0.408
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.8,0.75,0.75,0.75,1.0,0.857,0.875,7.209,0.612
diablo-full,sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.6,0.6,0.571,0.557,0.8,0.667,0.56,14.417,0.218
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.4,0.4,0.4,0.46,0.4,0.4,0.44,21.626,-0.2
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.7,0.7,0.667,0.633,0.8,0.727,0.72,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.4,0.4,0.333,0.467,0.2,0.25,0.36,21.626,-0.218
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.583,0.5,0.45,0.5,0.5,0.667,14.417,0.167
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.6,0.667,1.0,0.733,0.333,0.5,1.0,14.417,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.5,0.5,0.5,0.5,1.0,0.667,0.72,18.022,0.0
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.4,0.4,0.4,0.46,0.4,0.4,0.4,21.626,-0.2
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.5,0.5,0.5,0.5,0.6,0.545,0.44,18.022,0.0
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.5,0.5,0.5,0.5,0.6,0.545,0.44,18.022,0.0
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.8,0.792,0.75,0.662,0.75,0.75,0.75,7.209,0.583
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.7,0.708,0.6,0.55,0.75,0.667,0.833,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.5,0.5,0.5,0.5,0.4,0.444,0.44,18.022,0.0
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.7,0.7,0.75,0.65,0.6,0.667,0.68,10.813,0.408
diablo-full,sim-data_strategy-mvn_n-50_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.6,0.6,0.56,0.6,0.6,0.68,14.417,0.2
diablo-full,tcga-blca,fold_1,0.691,0.558,0.705,0.703,0.935,0.804,0.681,11.131,0.18
diablo-full,tcga-blca,fold_2,0.701,0.55,0.71,0.709,0.957,0.815,0.713,10.759,0.175
diablo-full,tcga-blca,fold_3,0.687,0.526,0.698,0.698,0.957,0.807,0.658,11.297,0.101
diablo-full,tcga-blca,fold_4,0.716,0.573,0.721,0.72,0.957,0.822,0.71,10.221,0.239
diablo-full,tcga-blca,fold_5,0.746,0.595,0.73,0.73,1.0,0.844,0.773,9.145,0.373
diablo-full,tcga-brca,fold_1,0.636,0.5,0.0,0.364,0.0,0.0,0.371,13.107,0.0
diablo-full,tcga-brca,fold_2,0.636,0.5,0.0,0.364,0.0,0.0,0.263,13.107,0.0
diablo-full,tcga-brca,fold_3,0.636,0.5,0.0,0.364,0.0,0.0,0.496,13.107,0.0
diablo-full,tcga-brca,fold_4,0.636,0.5,0.0,0.364,0.0,0.0,0.473,13.107,0.0
diablo-full,tcga-brca,fold_5,0.667,0.5,0.0,0.333,0.0,0.0,0.423,12.015,0.0
diablo-full,tcga-kipan,fold_1,0.92,0.92,0.923,0.892,0.923,0.923,0.936,2.883,0.84
diablo-full,tcga-kipan,fold_2,0.84,0.837,0.8,0.778,0.923,0.857,0.846,5.767,0.686
diablo-full,tcga-kipan,fold_3,0.72,0.728,0.875,0.711,0.538,0.667,0.628,10.092,0.487
diablo-full,tcga-kipan,fold_4,0.583,0.594,0.667,0.599,0.462,0.545,0.636,15.018,0.194
diablo-full,tcga-kipan,fold_5,0.542,0.542,0.533,0.522,0.667,0.593,0.611,16.52,0.086
diablo-full,tcga-thca,fold_1,0.682,0.5,0.0,0.318,0.0,0.0,0.782,11.468,0.0
diablo-full,tcga-thca,fold_2,0.682,0.5,0.0,0.318,0.0,0.0,0.602,11.468,0.0
diablo-full,tcga-thca,fold_3,0.674,0.5,0.0,0.326,0.0,0.0,0.611,11.735,0.0
diablo-full,tcga-thca,fold_4,0.674,0.5,0.0,0.326,0.0,0.0,0.819,11.735,0.0
diablo-full,tcga-thca,fold_5,0.721,0.538,1.0,0.356,0.077,0.143,0.631,10.059,0.234
diablo-null,GSE71669,fold_1,0.714,0.667,1.0,0.619,0.333,0.5,0.667,10.298,0.471
diablo-null,GSE71669,fold_2,0.429,0.417,0.333,0.397,0.333,0.333,0.5,20.596,-0.167
diablo-null,GSE71669,fold_3,0.429,0.375,0.0,0.429,0.0,0.0,0.708,20.596,-0.354
diablo-null,GSE71669,fold_4,0.5,0.5,0.333,0.333,0.5,0.4,0.625,18.022,0.0
diablo-null,GSE71669,fold_5,0.667,0.667,1.0,0.667,0.333,0.5,1.0,12.015,0.447
diablo-null,rosmap,fold_1,0.746,0.746,0.757,0.699,0.757,0.757,0.827,9.138,0.492
diablo-null,rosmap,fold_2,0.714,0.714,0.722,0.664,0.722,0.722,0.783,10.298,0.428
diablo-null,rosmap,fold_3,0.686,0.686,0.706,0.642,0.667,0.686,0.784,11.328,0.373
diablo-null,rosmap,fold_4,0.686,0.683,0.667,0.633,0.778,0.718,0.776,11.328,0.373
diablo-null,rosmap,fold_5,0.8,0.799,0.811,0.757,0.811,0.811,0.874,7.209,0.599
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_1,0.55,0.55,0.6,0.53,0.3,0.4,0.6,16.22,0.115
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_2,0.55,0.55,0.545,0.527,0.6,0.571,0.54,16.22,0.101
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_3,0.55,0.55,0.556,0.528,0.5,0.526,0.57,16.22,0.101
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_4,0.5,0.5,0.5,0.5,0.6,0.545,0.53,18.022,0.0
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_5,0.7,0.7,0.7,0.64,0.7,0.7,0.82,10.813,0.4
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_1,0.75,0.75,0.778,0.694,0.7,0.737,0.725,9.011,0.503
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_2,0.7,0.7,0.833,0.667,0.5,0.625,0.74,10.813,0.436
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_3,0.65,0.65,0.615,0.592,0.8,0.696,0.74,12.615,0.314
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_4,0.6,0.6,0.583,0.558,0.7,0.636,0.72,14.417,0.204
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_5,0.9,0.9,0.9,0.86,0.9,0.9,0.96,3.604,0.8
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_1,0.4,0.4,0.417,0.458,0.5,0.455,0.415,21.626,-0.204
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_2,0.5,0.5,0.5,0.5,0.7,0.583,0.58,18.022,0.0
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_3,0.5,0.5,0.5,0.5,0.4,0.444,0.6,18.022,0.0
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_4,0.7,0.7,0.75,0.65,0.6,0.667,0.76,10.813,0.408
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_5,0.55,0.55,0.545,0.527,0.6,0.571,0.5,16.22,0.101
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_1,0.35,0.35,0.2,0.47,0.1,0.133,0.55,23.428,-0.346
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_2,0.35,0.35,0.286,0.457,0.2,0.235,0.48,23.428,-0.314
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_3,0.6,0.6,0.583,0.558,0.7,0.636,0.655,14.417,0.204
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_4,0.7,0.7,0.7,0.64,0.7,0.7,0.68,10.813,0.4
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_5,0.5,0.5,0.5,0.5,0.6,0.545,0.5,18.022,0.0
diablo-null,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_1,0.45,0.45,0.4,0.48,0.2,0.267,0.355,19.824,-0.115
