method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_4,0.55,0.55,0.538,0.527,0.7,0.609,0.37,16.22,0.105
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_5,0.55,0.55,0.6,0.53,0.3,0.4,0.57,16.22,0.115
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1,fold_1,0.65,0.65,0.636,0.595,0.7,0.667,0.54,12.615,0.302
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1,fold_2,0.45,0.45,0.455,0.477,0.5,0.476,0.35,19.824,-0.101
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1,fold_3,0.35,0.35,0.385,0.442,0.5,0.435,0.28,23.428,-0.314
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1,fold_4,0.4,0.4,0.4,0.46,0.4,0.4,0.34,21.626,-0.2
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1,fold_5,0.35,0.35,0.333,0.45,0.3,0.316,0.27,23.428,-0.302
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0,fold_1,0.75,0.75,0.692,0.673,0.9,0.783,0.89,9.011,0.524
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0,fold_2,0.9,0.9,0.9,0.86,0.9,0.9,0.86,3.604,0.8
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0,fold_3,0.75,0.75,0.727,0.682,0.8,0.762,0.85,9.011,0.503
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0,fold_4,0.8,0.8,0.875,0.762,0.7,0.778,0.89,7.209,0.612
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0,fold_5,0.75,0.75,0.857,0.714,0.6,0.706,0.76,9.011,0.524
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_1,0.75,0.75,0.778,0.694,0.7,0.737,0.745,9.011,0.503
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_2,0.75,0.75,0.727,0.682,0.8,0.762,0.86,9.011,0.503
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_3,0.9,0.9,0.9,0.86,0.9,0.9,0.97,3.604,0.8
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_4,0.75,0.75,0.857,0.714,0.6,0.706,0.87,9.011,0.524
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_5,0.7,0.7,0.75,0.65,0.6,0.667,0.84,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1,fold_1,0.95,0.95,0.909,0.909,1.0,0.952,1.0,1.802,0.905
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1,fold_2,0.95,0.95,1.0,0.95,0.9,0.947,1.0,1.802,0.905
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1,fold_3,0.9,0.9,0.9,0.86,0.9,0.9,0.97,3.604,0.8
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1,fold_4,0.85,0.85,0.769,0.769,1.0,0.87,1.0,5.407,0.734
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1,fold_5,0.9,0.9,1.0,0.9,0.8,0.889,1.0,3.604,0.816
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_1,0.63,0.63,0.618,0.58,0.68,0.648,0.707,13.336,0.261
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_2,0.69,0.69,0.711,0.635,0.64,0.674,0.766,11.174,0.382
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_3,0.7,0.7,0.672,0.634,0.78,0.722,0.765,10.813,0.405
